event_id,device_id,timestamp,longitude,latitude,state
143656,2313145512701915151,2016-05-02 20:48:49,81.374336,24.540928,MadhyaPradesh
679264,2313145512701915151,2016-05-04 14:16:49,81.374336,24.540928,MadhyaPradesh
1396530,2313145512701915151,2016-05-02 20:52:01,81.374336,24.540928,MadhyaPradesh
1719202,2313145512701915151,2016-05-04 14:14:15,81.374336,24.540928,MadhyaPradesh
2755188,1539979963116391306,2016-05-02 16:41:31,75.106987,24.1562,MadhyaPradesh
342130,7731743086143077949,2016-05-05 08:24:10,79.627251,24.981611,MadhyaPradesh
655686,7731743086143077949,2016-05-01 08:24:09,79.627251,24.981611,MadhyaPradesh
1572997,7731743086143077949,2016-05-01 08:24:09,79.627251,24.981611,MadhyaPradesh
1637423,7731743086143077949,2016-05-05 08:25:10,79.627251,24.981611,MadhyaPradesh
1637424,7731743086143077949,2016-05-05 08:25:40,79.627251,24.981611,MadhyaPradesh
1794630,7731743086143077949,2016-05-01 08:25:10,79.627251,24.981611,MadhyaPradesh
2017654,7731743086143077949,2016-05-05 08:28:25,79.627251,24.981611,MadhyaPradesh
2075210,7731743086143077949,2016-05-01 08:26:16,79.627251,24.981611,MadhyaPradesh
2259098,7731743086143077949,2016-05-05 08:24:40,79.627251,24.981611,MadhyaPradesh
2326746,7731743086143077949,2016-05-01 08:21:36,79.627251,24.981611,MadhyaPradesh
13935,4370696809239943432,2016-05-06 13:28:14,75.900085,22.77972,MadhyaPradesh
1090904,4370696809239943432,2016-05-06 13:28:43,75.900085,22.77972,MadhyaPradesh
1338784,4370696809239943432,2016-05-06 13:27:13,75.900085,22.77972,MadhyaPradesh
1713243,4370696809239943432,2016-05-01 11:29:49,75.900085,22.77972,MadhyaPradesh
1882161,4370696809239943432,2016-05-07 12:09:51,75.900085,22.77972,MadhyaPradesh
2339178,4370696809239943432,2016-05-06 13:24:01,75.900085,22.77972,MadhyaPradesh
12141,2959524852145775517,2016-05-04 12:13:53,75.935059,22.766663,MadhyaPradesh
143675,2959524852145775517,2016-05-02 20:05:34,75.935059,22.766663,MadhyaPradesh
149541,2959524852145775517,2016-05-03 23:30:57,75.935059,22.766663,MadhyaPradesh
174459,2959524852145775517,2016-05-07 11:12:32,75.935059,22.766663,MadhyaPradesh
188148,2959524852145775517,2016-05-03 21:17:56,75.935059,22.766663,MadhyaPradesh
223769,2959524852145775517,2016-05-01 11:13:24,75.935059,22.766663,MadhyaPradesh
238674,2959524852145775517,2016-05-02 22:58:30,75.935059,22.766663,MadhyaPradesh
266277,2959524852145775517,2016-05-05 23:28:52,75.935059,22.766663,MadhyaPradesh
345702,2959524852145775517,2016-05-07 10:34:55,75.935059,22.766663,MadhyaPradesh
376879,2959524852145775517,2016-05-05 13:52:50,75.935059,22.766663,MadhyaPradesh
436058,2959524852145775517,2016-05-01 09:22:08,75.935059,22.766663,MadhyaPradesh
440944,2959524852145775517,2016-05-02 09:37:15,75.935059,22.766663,MadhyaPradesh
474848,2959524852145775517,2016-05-01 23:40:05,75.935059,22.766663,MadhyaPradesh
486137,2959524852145775517,2016-05-06 09:23:25,75.935059,22.766663,MadhyaPradesh
543899,2959524852145775517,2016-05-03 07:15:18,75.935059,22.766663,MadhyaPradesh
610092,2959524852145775517,2016-05-07 17:50:55,75.935059,22.766663,MadhyaPradesh
